iter	Passed	Remaining
681	8324	3881
682	8336	3869
683	8348	3856
684	8359	3844
685	8371	3831
686	8383	3819
687	8395	3807
688	8406	3794
689	8419	3782
690	8432	3770
691	8444	3758
692	8456	3746
693	8468	3734
694	8480	3721
695	8492	3709
696	8503	3696
697	8515	3684
698	8528	3672
699	8539	3659
700	8551	3647
701	8563	3635
702	8575	3622
703	8587	3610
704	8598	3598
705	8610	3585
706	8622	3573
707	8635	3561
708	8647	3549
709	8659	3536
710	8671	3524
711	8683	3512
712	8696	3500
713	8708	3488
714	8720	3475
715	8732	3463
716	8744	3451
717	8756	3439
718	8769	3427
719	8781	3415
720	8793	3402
721	8805	3390
722	8817	3378
723	8828	3365
724	8841	3353
725	8854	3341
726	8865	3329
727	8877	3316
728	8889	3304
729	8901	3292
730	8913	3280
731	8925	3267
732	8937	3255
733	8950	3243
734	8962	3231
735	8974	3219
736	8987	3207
737	8999	3195
738	9012	3182
739	9023	3170
740	9035	3158
741	9048	3146
742	9060	3134
743	9072	3121
744	9083	3109
745	9095	3096
746	9107	3084
747	9119	3072
748	9132	3060
749	9143	3047
750	9156	3035
751	9167	3023
752	9179	3011
753	9192	2999
754	9204	2986
755	9216	2974
756	9228	2962
757	9239	2949
758	9251	2937
759	9263	2925
760	9275	2913
761	9286	2900
762	9298	2888
763	9311	2876
764	9323	2864
765	9335	2851
766	9347	2839
767	9359	2827
768	9371	2815
769	9382	2802
770	9394	2790
771	9406	2777
772	9417	2765
773	9429	2753
774	9442	2741
775	9455	2729
776	9467	2717
777	9479	2704
778	9491	2692
779	9503	2680
780	9516	2668
781	9528	2656
782	9539	2643
783	9552	2631
784	9564	2619
785	9576	2607
786	9589	2595
787	9600	2582
788	9612	2570
789	9623	2558
790	9635	2545
791	9647	2533
792	9660	2521
793	9672	2509
794	9683	2497
795	9695	2484
796	9707	2472
797	9719	2460
798	9730	2447
799	9742	2435
800	9754	2423
801	9766	2411
802	9777	2398
803	9790	2386
804	9802	2374
805	9814	2362
806	9825	2349
807	9837	2337
808	9849	2325
809	9862	2313
810	9874	2301
811	9885	2288
812	9897	2276
813	9910	2264
814	9921	2252
815	9933	2239
816	9945	2227
817	9958	2215
818	9970	2203
819	9981	2191
820	9994	2178
821	10006	2166
822	10019	2154
823	10031	2142
824	10042	2130
825	10054	2117
826	10067	2106
827	10080	2093
828	10092	2081
829	10105	2069
830	10118	2057
831	10131	2045
832	10143	2033
833	10154	2021
834	10165	2008
835	10178	1996
836	10190	1984
837	10202	1972
838	10214	1960
839	10227	1948
840	10240	1936
841	10252	1923
842	10267	1912
843	10281	1900
844	10292	1888
845	10304	1875
846	10316	1863
847	10328	1851
848	10339	1839
849	10351	1826
850	10364	1814
851	10375	1802
852	10388	1790
853	10400	1777
854	10412	1765
855	10425	1753
856	10437	1741
857	10449	1729
858	10461	1717
859	10474	1705
860	10486	1693
861	10498	1680
862	10511	1668
863	10523	1656
