iter	Passed	Remaining
881	7051	943
882	7059	935
883	7067	927
884	7074	919
885	7082	911
886	7090	903
887	7097	895
888	7105	887
889	7112	879
890	7120	871
891	7128	863
892	7135	855
893	7144	847
894	7152	839
895	7160	831
896	7168	823
897	7176	815
898	7185	807
899	7193	799
900	7201	791
901	7209	783
902	7217	775
903	7225	767
904	7232	759
905	7240	751
906	7248	743
907	7256	735
908	7264	727
909	7271	719
910	7279	711
911	7286	703
912	7294	695
913	7302	687
914	7310	679
915	7318	671
916	7326	663
917	7334	655
918	7341	647
919	7349	639
920	7356	631
921	7364	623
922	7372	615
923	7379	606
924	7387	598
925	7395	590
926	7402	582
927	7410	574
928	7417	566
929	7425	558
930	7433	550
931	7440	542
932	7448	534
933	7457	526
934	7464	518
935	7472	510
936	7480	502
937	7488	494
938	7496	486
939	7504	479
940	7512	471
941	7520	463
942	7528	455
943	7536	447
944	7544	439
945	7551	431
946	7559	423
947	7567	415
948	7575	407
949	7582	399
950	7590	391
951	7598	383
952	7606	375
953	7614	367
954	7622	359
955	7631	351
956	7639	343
957	7647	335
958	7654	327
959	7662	319
960	7670	311
961	7678	303
962	7686	295
963	7694	287
964	7702	279
965	7710	271
966	7718	263
967	7726	255
968	7734	247
969	7742	239
970	7750	231
971	7758	223
972	7766	215
973	7774	207
974	7784	199
975	7792	191
976	7801	183
977	7809	175
978	7819	167
979	7827	159
980	7835	151
981	7843	143
982	7851	135
983	7859	127
984	7868	119
985	7876	111
986	7884	103
987	7892	95
988	7900	87
989	7909	79
990	7917	71
991	7927	63
992	7934	55
993	7942	47
994	7951	39
995	7959	31
996	7966	23
997	7975	15
998	7983	7
999	7991	0
